kind,ref_idx,depth,objectRad,dist,center_frame,snr,duration,RickerDetector|T1|peak,RickerDetector|T1|frame,RickerDetector|T2|peak,RickerDetector|T2|frame,RickerDetector|T3|peak,RickerDetector|T3|frame,RickerDetector|joint|peak,RickerDetector|joint|frame,BoxDetector|T1|peak,BoxDetector|T1|frame,BoxDetector|T2|peak,BoxDetector|T2|frame,BoxDetector|T3|peak,BoxDetector|T3|frame,BoxDetector|joint|peak,BoxDetector|joint|frame,MultiWidthRickerDetector|T1|peak,MultiWidthRickerDetector|T1|frame,MultiWidthRickerDetector|T2|peak,MultiWidthRickerDetector|T2|frame,MultiWidthRickerDetector|T3|peak,MultiWidthRickerDetector|T3|frame,MultiWidthRickerDetector|joint|peak,MultiWidthRickerDetector|joint|frame,MultiWidthBoxDetector|T1|peak,MultiWidthBoxDetector|T1|frame,MultiWidthBoxDetector|T2|peak,MultiWidthBoxDetector|T2|frame,MultiWidthBoxDetector|T3|peak,MultiWidthBoxDetector|T3|frame,MultiWidthBoxDetector|joint|peak,MultiWidthBoxDetector|joint|frame,FresnelMatchedFilterDetector|T1|peak,FresnelMatchedFilterDetector|T1|frame,FresnelMatchedFilterDetector|T2|peak,FresnelMatchedFilterDetector|T2|frame,FresnelMatchedFilterDetector|T3|peak,FresnelMatchedFilterDetector|T3|frame,FresnelMatchedFilterDetector|joint|peak,FresnelMatchedFilterDetector|joint|frame,NormalizedSNRDetector|T1|peak,NormalizedSNRDetector|T1|frame,NormalizedSNRDetector|T2|peak,NormalizedSNRDetector|T2|frame,NormalizedSNRDetector|T3|peak,NormalizedSNRDetector|T3|frame,NormalizedSNRDetector|joint|peak,NormalizedSNRDetector|joint|frame
background,213,,,,-1,3.1091823497048927,,6.697063764461368,1653,5.421578920403785,824,6.174624685750428,672,4.54032755415844,97,6.037831075350186,2149,6.478041583774027,825,7.160098376401562,673,4.914475794590925,1570,7.169285130097394,1652,7.536132730745605,828,7.74131257870113,672,6.781540657249467,671,6.678631599802945,2149,7.813567162011162,830,8.29712823673768,672,6.399679421829112,1330,6.998769369819628,2148,7.722660519117573,829,8.762103032983275,672,7.718538031557439,673,3.6525183227875826,2146,3.8298205176150146,822,3.5032397376944395,2243,4.18096356926208,95
background,1234,,,,-1,1.9421406566619572,,3.4817714239918196,1712,3.1689407472983673,728,3.134430927878454,1447,3.165918630971345,1279,3.627797682607444,349,3.4861392747911455,730,4.014265674205148,1015,3.2592502871534976,1012,3.770115955523537,451,4.480423486226926,1762,4.692675230747511,395,4.9365405269797185,1819,3.7699285772430815,349,3.757517841600922,372,4.014931535407683,1448,4.5209017698908465,1012,4.534832712936048,1146,4.694616563135445,321,4.664125904572898,1447,5.957767105174008,414,3.2770058399338486,383,3.792781901926119,2338,3.739763009698611,1219,3.10173728412529,2209
background,944,,,,-1,7.8835236504186454,,5.0759235361799995,1767,5.013537036296127,608,6.143946898542592,1129,4.399004763455586,2146,4.536686905366095,371,5.257140951393735,609,5.511715318355997,1129,4.04597797291041,2146,5.530906577248758,369,5.448355668436513,836,6.751389264984391,1128,5.513280828370963,1127,5.761703967528328,369,6.138938859650092,607,5.779882420486307,1129,5.197884409740671,2147,5.40034743300088,369,6.099724858269147,836,6.081326397664762,1128,7.21246663717325,607,4.074398063653262,1270,4.502206850109609,1345,4.426062162009298,117,4.049788118816642,1295
background,732,,,,-1,6.250812202351249,,4.768707039385587,1451,4.957948489710063,1768,3.7741731583459344,946,5.680760726892243,14,5.751079701637231,1450,4.50363239266005,1671,4.485745780631218,1348,5.147997769371051,15,5.291326518261501,514,5.251712986711807,1769,4.9168006624400356,1350,6.434776524488634,17,5.913268354909496,1451,5.406361302176236,1671,5.669493420508867,744,6.523909918760322,16,6.3265402381528055,1449,5.612236438332377,1671,5.6834201792007715,744,7.43552794554392,15,3.3844599741484136,1740,3.4491749938688967,761,3.393215625886713,1350,4.55147609696461,17
background,702,,,,-1,4.566042759453446,,4.908827435501433,1650,5.078604723656943,591,4.758165798323792,2079,4.713035387731967,2303,4.716966124011582,1107,4.255051239311393,1729,4.6265983252148715,1330,4.387609298577114,1110,5.322778758206386,2270,5.401033631795191,591,6.158375463201702,288,5.758846834852103,2302,5.561133412693829,1120,4.859378093547758,424,5.140791944293481,1755,5.5659436486181795,1744,5.6839963671891285,1120,5.688732608512541,1579,5.575797061718055,287,6.943508154288092,1393,2.792838921732229,55,2.8218454532631094,423,3.083100668666709,1091,3.594359781902347,1282
background,117,,,,-1,5.639012755500141,,4.50036588424665,1537,4.831537617865156,1805,3.774501716106053,2319,4.757649161650716,822,4.244081880775325,2124,4.282831915624413,1617,3.5431271217201914,556,3.945226432376999,1805,4.819930086770878,1537,4.831537617865156,1805,4.3109509935729,1677,5.869656515502716,1805,4.244081880775325,2124,5.20468138618517,1613,4.086404774631056,549,5.909135181704522,1805,4.828228902338144,999,5.356229545215784,1618,5.067768999755766,618,6.402832016815302,1612,3.140485743495172,1031,3.7952789770810016,1618,3.588746378416882,342,3.8000045919522267,694
background,944,,,,-1,7.8835236504186454,,4.868781673453496,2222,4.455532871443291,434,4.296787060129693,1597,4.431890282255195,1800,5.346610536711103,371,4.741343230003193,437,5.369332481527922,971,5.374721234657426,1799,5.797330118047381,369,5.2298491467257175,1448,5.392253434504915,970,6.924551647914868,1799,6.22412598617052,369,5.597603212782739,437,6.181846054645713,971,6.374885460622941,1799,6.107893431297038,369,5.866550584004135,940,6.447992751443064,970,7.021053962120609,2221,4.478217568449666,736,4.776797475578283,652,4.571763037826203,658,4.059655864869196,2061
background,525,,,,-1,5.771273749282135,,3.291789156988439,2101,3.6519007160868906,229,4.097108655044802,651,3.1539382326850802,230,3.762171324407474,869,3.7389602796996466,232,3.8976733651710833,90,3.759645978500574,232,3.6923532072448584,827,4.416355247198505,1255,4.186931112311615,651,4.763415418582619,493,3.762171324407474,869,4.145703217534316,231,3.8976733651710833,90,4.345047673124411,233,4.350451777673296,123,4.373004432061513,2130,4.267216675656682,466,5.788888236812071,467,3.3582495069323537,716,2.969593148468481,1242,3.313001891054192,1512,3.2862160369478093,1155
background,461,,,,-1,7.246256734384452,,5.3717165280269565,774,5.268828571114423,1146,5.494944919198158,1765,6.33580264714423,285,4.9486009130130055,772,5.134655039403409,1274,4.877106422897636,1545,5.453232632796646,1913,5.43866167426871,774,5.540859148687018,1146,6.698656778540212,1764,6.445922713138382,285,5.7535712499850895,774,5.905420499763645,1275,6.5515550257937205,1549,6.363297520789508,2019,5.668160382648574,774,5.692344178593114,1145,6.478635837588843,1766,8.109771961935875,109,3.5732048986387537,1636,4.180760619395583,2018,3.9340689504377284,1486,4.001380795664222,1913
background,117,,,,-1,5.639012755500141,,5.08291790433813,2065,4.919431219878804,403,4.583346391829606,1081,4.251636023995144,2069,4.931225062381635,2063,5.1717231856257415,403,4.722207470791055,1543,4.3039266934230636,843,5.694253684070404,2066,5.827251647381651,404,4.837418985552989,183,6.244932657544025,1101,5.981349485049216,2064,6.263188972619286,404,5.622764126359373,1544,6.190732766677588,2192,5.585177328198412,2065,6.139804226952501,404,5.365808427214341,2193,7.461075832085933,1101,3.8618188055935776,2061,3.9752287805994464,401,3.9856248211098095,1540,3.498370499967411,840
background,565,,,,-1,4.2910589651189674,,3.7547577561271757,2109,5.20216835444054,414,3.8568385615004805,1917,4.1329922951339135,415,3.8373093413834916,649,4.4381689750929745,416,4.178592524603327,1256,3.4889658500106524,1558,4.874412112112739,1471,5.458946126524239,415,4.627875894978064,513,5.62656145200104,516,4.181628115310819,162,5.175148828554364,415,4.178592524603327,1256,5.083592519776791,172,4.642342999637009,101,5.869502002139403,416,4.821617147018469,966,7.05315701738451,416,2.7751177576662927,441,3.4906966546307125,411,2.8671333088589486,158,3.258798000101856,1559
background,680,,,,-1,6.77448222826497,,3.8484836947526366,1186,4.1201583307920835,1465,4.159579632987856,994,3.699100719764815,1895,4.329939677382572,2216,5.077475300228406,1812,4.850807544626052,994,3.6153597872943473,1064,4.4718057583393165,326,5.261071687228373,1811,4.7588255941585835,994,5.418878810488898,1974,4.329939677382572,2216,5.387701608272389,1813,5.02211710707604,993,4.834933000430255,1016,4.759948813681003,1172,5.7675903889060445,1810,5.2507317956643655,984,6.582776664756221,503,2.8875663880930644,996,3.0339681359454724,1811,2.9241824077444396,993,2.9888735237888904,639
