kind,ref_idx,depth,objectRad,dist,center_frame,RickerDetector|Green|peak,RickerDetector|Green|frame,RickerDetector|joint|peak,RickerDetector|joint|frame,BoxDetector|Green|peak,BoxDetector|Green|frame,BoxDetector|joint|peak,BoxDetector|joint|frame,MultiWidthRickerDetector|Green|peak,MultiWidthRickerDetector|Green|frame,MultiWidthRickerDetector|joint|peak,MultiWidthRickerDetector|joint|frame,FresnelMatchedFilterDetector|Green|peak,FresnelMatchedFilterDetector|Green|frame,FresnelMatchedFilterDetector|joint|peak,FresnelMatchedFilterDetector|joint|frame,NormalizedSNRDetector|Green|peak,NormalizedSNRDetector|Green|frame,NormalizedSNRDetector|joint|peak,NormalizedSNRDetector|joint|frame
inject,748,0.28574665853120773,637.4721756657341,31.36129568428683,1018,3.3609578476921516,2075,3.3609578476921516,2075,3.963539697608276,2075,3.963539697608276,2075,4.574390965823765,1970,4.574390965823765,1970,5.0430070729521015,1296,5.0430070729521015,1296,2.374563503342324,1970,2.374563503342324,1970
inject,1137,0.655499311646719,1901.5922878610463,35.47665252367243,628,5.845341538086742,592,5.845341538086742,592,5.632114369983343,592,5.632114369983343,592,5.845341538086742,592,5.845341538086742,592,8.515233764528295,592,8.515233764528295,592,1.5819718038702442,592,1.5819718038702442,592
inject,553,0.39757329702621436,1922.8038392742533,37.4984372053147,1086,3.2263719403980624,968,3.2263719403980624,968,3.8459981245113193,969,3.8459981245113193,969,3.9967246695305882,968,3.9967246695305882,968,4.186167800486758,1752,4.186167800486758,1752,34602928.686967984,237,34602928.686967984,237
inject,787,0.230905331080266,1082.0767368254633,41.36593267962437,2052,3.7467897537493124,2005,3.7467897537493124,2005,3.9039950680853868,2005,3.9039950680853868,2005,4.155388975099128,1920,4.155388975099128,1920,4.871094736752947,2005,4.871094736752947,2005,0.805962673814288,2380,0.805962673814288,2380
inject,111,0.0193154385085319,1548.6220720408398,40.66714316984625,1037,3.864497843126701,736,3.864497843126701,736,4.995836052066261,736,4.995836052066261,736,4.117841185497047,2048,4.117841185497047,2048,4.991506278679531,2155,4.991506278679531,2155,23.115320039958224,2180,23.115320039958224,2180
inject,1245,0.14348503087403197,1945.474522871899,30.22059457448054,2011,3.6310035651416013,449,3.6310035651416013,449,4.065460439044633,1583,4.065460439044633,1583,3.8549031432643925,1583,3.8549031432643925,1583,4.518912674075677,1583,4.518912674075677,1583,1.638738041671346,725,1.638738041671346,725
inject,493,0.14526095430634423,1953.4689834990234,43.34903333580781,532,3.1170607889443454,938,3.1170607889443454,938,3.316036978907504,10,3.316036978907504,10,4.018227521208153,1827,4.018227521208153,1827,3.66565162946121,1579,3.66565162946121,1579,2.3384217372663647,1827,2.3384217372663647,1827
inject,1139,0.3793769627743736,1870.0012716318981,33.99195408438439,1772,3.02673997606952,897,3.02673997606952,897,3.7944779896342578,1383,3.7944779896342578,1383,4.998314008704938,1380,4.998314008704938,1380,5.706101220896639,1382,5.706101220896639,1382,1.341268050516496,1516,1.341268050516496,1516
inject,884,0.2991672824864443,1544.4105326161534,39.21559870423495,326,3.2385931372173764,311,3.2385931372173764,311,3.537539796029966,354,3.537539796029966,354,4.714713945288263,255,4.714713945288263,255,4.299337191186995,358,4.299337191186995,358,1.0562856030094552,255,1.0562856030094552,255
inject,134,0.10368517950290745,1171.6898295455326,43.93656331195509,1689,3.4413724369078973,593,3.4413724369078973,593,3.523823916685412,1178,3.523823916685412,1178,3.8270078309246642,593,3.8270078309246642,593,4.467018365996536,594,4.467018365996536,594,1.2110598431528894,2130,1.2110598431528894,2130
inject,837,0.3438804350691437,1031.5078443113166,44.49093121176105,903,2.998938016477569,215,2.998938016477569,215,3.6253573662202654,2361,3.6253573662202654,2361,3.8268229949369807,2361,3.8268229949369807,2361,4.569002047965615,221,4.569002047965615,221,5.055061753305287,2358,5.055061753305287,2358
inject,291,0.15986912775855433,683.9780283094515,31.868320587529254,1936,3.550524035968761,2372,3.550524035968761,2372,3.2771681394090466,2370,3.2771681394090466,2370,3.550524035968761,2372,3.550524035968761,2372,4.229337372495624,1798,4.229337372495624,1798,1.545053939551231,975,1.545053939551231,975
inject,973,0.2076755270314402,1252.809118410516,34.32631821646816,1787,3.4161372048275536,38,3.4161372048275536,38,2.802969665971421,901,2.802969665971421,901,3.851736640212632,39,3.851736640212632,39,5.025435845283113,39,5.025435845283113,39,4.4118081305345624,705,4.4118081305345624,705
inject,909,0.08813051080036571,927.9874988558574,38.28917265781931,2071,4.314090894192248,1071,4.314090894192248,1071,3.519486946255072,1072,3.519486946255072,1072,4.354885539910002,1071,4.354885539910002,1071,5.328461146809172,1071,5.328461146809172,1071,39.23320517626758,2354,39.23320517626758,2354
inject,1041,0.0708369702148115,1846.9302348259048,30.64600332852306,1021,2.9972163387415582,1207,2.9972163387415582,1207,3.0748770566395223,434,3.0748770566395223,434,4.0762409746323796,504,4.0762409746323796,504,5.222719210524229,251,5.222719210524229,251,0.9200654200039314,504,0.9200654200039314,504
inject,167,0.343789128758207,920.5784681890601,31.1794505574846,268,3.7246190062997875,2248,3.7246190062997875,2248,3.904359634539028,2250,3.904359634539028,2250,5.081054832963243,2248,5.081054832963243,2248,6.022962539792894,2250,6.022962539792894,2250,1.275846480202734,42,1.275846480202734,42
inject,817,0.19527059336637576,515.5890738441212,42.971674431011614,2042,3.122240226678419,212,3.122240226678419,212,3.2192861928803618,1036,3.2192861928803618,1036,3.6267802412884613,1075,3.6267802412884613,1075,3.845616713986607,1293,3.845616713986607,1293,1.8981097348668567,1035,1.8981097348668567,1035
inject,431,0.7331773331968263,1959.9859472912758,41.635367821527424,1178,3.3319089650927207,1097,3.3319089650927207,1097,3.1563645193963685,382,3.1563645193963685,382,3.3319089650927207,1097,3.3319089650927207,1097,4.23293452791077,369,4.23293452791077,369,41.305754929288206,1044,41.305754929288206,1044
inject,822,0.054864733867308835,1168.201059424197,35.16443596443488,1923,3.275037738519384,1527,3.275037738519384,1527,3.2280285552790273,142,3.2280285552790273,142,3.6052046935744775,1546,3.6052046935744775,1546,4.367381871922829,1539,4.367381871922829,1539,11.359066665624487,959,11.359066665624487,959
inject,380,0.1290126315977268,1680.9701767891318,40.01834108357027,1921,4.046921190981965,1704,4.046921190981965,1704,4.524964472881078,1705,4.524964472881078,1705,5.166387682120913,2377,5.166387682120913,2377,4.890921910013089,1704,4.890921910013089,1704,0.6464656752471942,2377,0.6464656752471942,2377
inject,811,0.115778478405268,720.1494585475828,32.11869835351548,1884,3.210901065141391,1800,3.210901065141391,1800,3.2821213459249887,1798,3.2821213459249887,1798,3.8763360198770744,1721,3.8763360198770744,1721,4.570066878519403,1877,4.570066878519403,1877,8.682927484966608,960,8.682927484966608,960
inject,872,0.4584555721345326,1847.434802567293,38.42101151325335,1001,3.135403547108552,806,3.135403547108552,806,3.7129664945176835,633,3.7129664945176835,633,3.9977332056372634,634,3.9977332056372634,634,4.2940505628328856,805,4.2940505628328856,805,2.3640275072201327,631,2.3640275072201327,631
inject,955,0.2541587778677178,451.1905884186624,44.72914039690059,1244,4.650375859946629,1105,4.650375859946629,1105,4.490094647766583,268,4.490094647766583,268,4.650375859946629,1105,4.650375859946629,1105,5.734592577913016,1105,5.734592577913016,1105,1.2430525566869635,1104,1.2430525566869635,1104
inject,942,0.32489998008450494,1302.779048145616,34.79522454423997,2107,3.510299370038641,1024,3.510299370038641,1024,3.428415287948102,1328,3.428415287948102,1328,4.13583799711928,238,4.13583799711928,238,4.982992454308833,1024,4.982992454308833,1024,1.4008066619309048,1327,1.4008066619309048,1327
inject,849,0.4085949386288952,1323.806599845364,44.436346396865716,1347,3.3809531953388237,1136,3.3809531953388237,1136,3.254317978052134,1136,3.254317978052134,1136,3.697532745534687,1025,3.697532745534687,1025,4.22639244463657,526,4.22639244463657,526,12.697087269635688,1722,12.697087269635688,1722
